title,status,category,tags,release_date,price,is_free,platforms,publisher,developer,description,review_summary,deal_name,deal_expiry,image_url,store_url
Age of Empires IV: Anniversary Edition,,,"Strategy, RTS, Base Building, Multiplayer, War, Singleplayer, Medieval, Resource Management, City Builder, Historical, Action RTS, PvP, PvE, Co-op, 3D, Management, Isometric, Open World, Online Co-Op, Mature","28 Oct, 2021","₹1,299.00",False,,Xbox Game Studios,"World's Edge, Relic Entertainment, Forgotten Empires, Climax Studios","Celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with Age of Empires IV: Anniversary Edition, putting you at the center of even more epic historical battles that shaped the world.",82% of the 960 user reviews in the last 30 days are positive.,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1466860/capsule_231x87.jpg?t=1762295217,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_7000_150_1
Anno 117: Pax Romana,,,"Strategy, Simulation, City Builder, RTS, Sandbox, Building, Choose Your Own Adventure, Exploration, Economy, Historical, Management, Political, Choices Matter, Resource Management, Story Rich, Singleplayer, Multiplayer, Online Co-Op, Rome","13 Nov, 2025","₹4,199.00",False,,Ubisoft,Ubisoft Mainz,"Shape the Roman Empire in this genre-defining strategic builder game. Build cities while expanding your influence through Roman provinces. Govern using economic prowess, diplomatic skills, or military might.",No user reviews,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3274580/2a50b884fd1739a68165fc41af8130197f6c57a4/capsule_231x87.jpg?t=1761340333,https://store.steampowered.com/app/3274580/Anno_117_Pax_Romana/?snr=1_7_7_7000_150_1
INAZUMA ELEVEN: Victory Road,,,"Sports, Football (Soccer), RPG, Collectathon, PvP, Competitive, Anime, 3D, Character Customization, Story Rich, Action, Deckbuilding, Tactical, Drama, Singleplayer, Emotional, Multiplayer, Football (American), Immersive, JRPG","13 Nov, 2025","₹5,827.00",False,,LEVEL5 Inc.,LEVEL5 Inc.,"The latest entry in the character collection and football simulation RPG series, ""Inazuma Eleven!"" With an original story featuring new main characters, over 5,400 players from across the series' history to collect and train, as well as exciting online tournaments, you can play the game your way!",No user reviews,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2799860/9ee2aa35c24c19588eec70c6f7ff94f6efa26b1f/capsule_231x87.jpg?t=1761614051,https://store.steampowered.com/app/2799860/INAZUMA_ELEVEN_Victory_Road/?snr=1_7_7_7000_150_1
Call of Duty®: Black Ops 7,,,,"13 Nov, 2025","₹5,999.00",False,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3606480/e265efebec95c52bb0c662532a51b6bdf45ccd37/capsule_231x87.jpg?t=1762282163,https://store.steampowered.com/app/3606480/Call_of_Duty_Black_Ops_7/?snr=1_7_7_7000_150_1
Dead by Daylight,,,,"14 Jun, 2016","₹1,159.00",False,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/capsule_231x87.jpg?t=1760636583,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_7000_150_1
Age of Empires IV: Dynasties of the East,,,"Strategy, Historical","4 Nov, 2025","₹1,199.00",False,,Xbox Game Studios,"Relic Entertainment, Forgotten Empires, Climax Studios, World's Edge",,65% of the 161 user reviews for this game are positive.,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3067190/8174af700122303ded5b7006d789e5ddd5fef525/capsule_231x87.jpg?t=1762279204,https://store.steampowered.com/app/3067190/Age_of_Empires_IV_Dynasties_of_the_East/?snr=1_7_7_7000_150_1
Tavern Keeper 🍻,,,"Early Access, Simulation, Management, Funny, Fantasy, Choose Your Own Adventure, Isometric, 3D, Interactive Fiction, Singleplayer, Comedy, Strategy, Economy, Sandbox, Building, Colorful, Stylized, Casual, Cute, Cooking","3 Nov, 2025","₹1,051.00",False,,Greenheart Games 💚,Greenheart Games 💚,"From the creators of Game Dev Tycoon comes Tavern Keeper 🍻, a cosy-chaotic management sim, featuring a powerful decoration sandbox and a magical storybook RPG!",95% of the 403 user reviews for this game are positive.,,SPECIAL PROMOTION! Offer ends 17 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/436780/ce5a851d599448045cb5439b223ff89f24248465/capsule_231x87.jpg?t=1762343337,https://store.steampowered.com/app/436780/Tavern_Keeper/?snr=1_7_7_7000_150_1
Lies of P,,,,"18 Sep, 2023","₹1,850.00",False,,,,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1627720/capsule_231x87.jpg?t=1754552654,https://store.steampowered.com/app/1627720/Lies_of_P/?snr=1_7_7_7000_150_1
The Outer Worlds 2,,,"RPG, Action RPG, Singleplayer, Exploration, First-Person, Open World, Adventure, Action, Sci-fi, Violent, Choices Matter, Character Customization, Capitalism, Gore, Story Rich, Third Person, Dystopian, CRPG, Space, Shooter","29 Oct, 2025","₹5,499.00",False,,Xbox Game Studios,Obsidian Entertainment,The Outer Worlds 2 is the sequel to the award-winning first-person sci-fi RPG from Obsidian Entertainment.,"79% of the 2,311 user reviews in your language are positive",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449110/da980550b308768b5a9b3ba451e3e25ed00aae06/capsule_231x87.jpg?t=1761760147,https://store.steampowered.com/app/1449110/The_Outer_Worlds_2/?snr=1_7_7_7000_150_1
Season 1 Battlefield Pro - Battlefield™ 6 and REDSEC,,,"Action, FPS, Multiplayer, War, Military, Singleplayer, Shooter, Modern, Epic, Realistic, Combat, Tactical, Destruction, Battle Royale, Atmospheric, Violent, PvP, Co-op, Sandbox","28 Oct, 2025","₹1,399.00",False,,Electronic Arts,Battlefield Studios,,26% of the 311 user reviews for this game are positive.,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3880840/192ce3ca3455f313fd3749ed849b2d1bca8a5e78/capsule_231x87.jpg?t=1762194593,https://store.steampowered.com/app/3880840/Season_1_Battlefield_Pro__Battlefield_6_and_REDSEC/?snr=1_7_7_7000_150_1
Path of Exile,,,"Free to Play, Dark Fantasy, Action RPG, Hack and Slash, Loot, MMORPG, Multiplayer, Dungeon Crawler, Isometric, RPG, Character Customization, Online Co-Op, Singleplayer, Inventory Management, Action, PvP, Horror, Massively Multiplayer, Fantasy, Adventure","23 Oct, 2013",Free,True,,Grinding Gear Games,Grinding Gear Games,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Path of Exile is an online Action RPG set in a dark fantasy world. The game is completely free and will never be pay-to-win.","88% of the 1,200 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238960/8cbe814df913f93fad6ea33e5f3af6a95a8201ab/capsule_231x87.jpg?t=1761681686,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_7000_150_1
Farming Simulator 25: Highlands Fishing Expansion,,,"Simulation, Farming Sim, Realistic, 3D, First-Person, Immersive Sim, Time Management, Economy, Multiplayer, Third Person, Building, Management, Atmospheric, Relaxing, Nature, Online Co-Op, Farming, Physics, Singleplayer, Moddable","4 Nov, 2025","₹1,979.00",False,,GIANTS Software,GIANTS Software,,64% of the 142 user reviews for this game are positive.,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3453970/faa3c533dad770e087a116f03085520c0fc39701/capsule_231x87.jpg?t=1762261225,https://store.steampowered.com/app/3453970/Farming_Simulator_25_Highlands_Fishing_Expansion/?snr=1_7_7_7000_150_1
Sid Meier's Civilization VII,,,"Grand Strategy, Historical, 4X, Simulation, Military, Diplomacy, Multiplayer, Strategy, Economy, War, Turn-Based Tactics, City Builder, Tactical, Singleplayer, Alternate History, Hex Grid, Turn-Based Strategy, Political Sim, Stylized, PvP","10 Feb, 2025","₹2,599.00",False,,2K,Firaxis Games,The award-winning strategy game franchise returns with a revolutionary new chapter. Sid Meier's Civilization® VII empowers you to build the greatest empire the world has ever known!,52% of the 723 user reviews in the last 30 days are positive.,,SPECIAL PROMOTION! Offer ends 17 November,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1295660/ce5280f62fb3d555b4914208879cfb1dcb60cb63/capsule_231x87_alt_assets_2.jpg?t=1762277940,https://store.steampowered.com/app/1295660/Sid_Meiers_Civilization_VII/?snr=1_7_7_7000_150_1
Once Human,,,"Free to Play, Survival, Open World Survival Craft, Adventure, Post-apocalyptic, Co-op, Multiplayer, Massively Multiplayer, Base Building, Third Person, Open World, PvP, Horror, RPG, Shooter, Online Co-Op, Action-Adventure, Singleplayer, Simulation, MMORPG","9 Jul, 2024",Free,True,,Starry Studio,Starry Studio,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.","91% of the 5,954 user reviews in the last 30 days are positive.",,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2139460/9223ef1187bb9399be11d28537bf3e975b2e7ca1/capsule_231x87.jpg?t=1761817318,https://store.steampowered.com/app/2139460/Once_Human/?snr=1_7_7_7000_150_1
